compound_name,species,strain,dosage,age_at_initiation,treatment_duration,avg_lifespan_change_percent,avg_lifespan_significance,max_lifespan_change_percent,max_lifespan_significance,gender,weight_change_percent,weight_change_significance,ITP,pubmed_id,LogP,TPSA,MolWt,NumHDonors,NumHAcceptors
DAPH,Caenorhabditis elegans,,13 µM,,,15.0,S,,,Unknown,,,No,24134630,4.057400000000001,70.23,329.35900000000004,3.0,4.0
Cyproterone acetate,Caenorhabditis elegans,,33 µM,,,23.0,S,,,Unknown,,,No,24134630,4.607600000000004,60.440000000000005,416.9450000000002,0.0,4.0
Danazol,Caenorhabditis elegans,,33 µM,,,13.0,S,,,Unknown,,,No,24134630,4.221000000000004,46.260000000000005,337.4630000000001,1.0,3.0
Cyclosporin A,Caenorhabditis elegans,,88 µM,,,18.0,S,,,Unknown,,,No,24134630,3.2690000000000063,278.8,1202.6349999999982,5.0,12.0
BTCP hydrochloride,Caenorhabditis elegans,,88 µM,,,14.0,S,,,Unknown,,,No,24134630,5.968400000000005,3.24,335.94400000000013,0.0,2.0
Cortexolone maleate,Caenorhabditis elegans,,33 µM,,,11.0,S,,,Unknown,,,No,24134630,3.506900000000001,139.72,612.7490000000006,3.0,8.0
Cinnarizine,Caenorhabditis elegans,,33 µM,,,15.0,S,,,Unknown,,,No,24134630,5.107000000000005,6.48,368.52400000000006,0.0,2.0
Cis-(Z)-Flupenthixol dihydrochloride,Caenorhabditis elegans,,33 µM,,,30.0,S,,,Unknown,,,No,24134630,5.445300000000006,26.71,507.4490000000001,1.0,4.0
Chlorprothixene hydrochloride,Caenorhabditis elegans,,13 µM,,,33.0,S,,,Unknown,,,No,24134630,5.609800000000004,3.24,352.33,0.0,2.0
BRL 50481,Caenorhabditis elegans,,176 µM,,,18.0,S,,,Unknown,,,No,24134630,1.15352,80.52,244.272,0.0,4.0
Beta-estradiol,Caenorhabditis elegans,,33 µM,,,7.0,S,,,Unknown,,,No,24134630,3.6092000000000026,40.46,272.388,2.0,2.0
BRL 15572,Caenorhabditis elegans,,33 µM,,,10.0,S,,,Unknown,,,No,24134630,4.655000000000005,26.71,406.9570000000001,1.0,3.0
Amoxapine,Caenorhabditis elegans,,88 µM,,,33.0,S,,,Unknown,,,No,24134630,3.4292000000000016,36.86,313.788,1.0,4.0
Amperozide hydrochloride,Caenorhabditis elegans,,13 µM,,,38.0,S,,,Unknown,,,No,24134630,4.645800000000005,35.580000000000005,437.96200000000005,1.0,2.0
"7-cyclopentyl-5-(4-phenoxy)phenyl-7H-pyrrolo[2,3-d]pyrimidin-4-ylamine",Caenorhabditis elegans,,33 µM,,,11.0,S,,,Unknown,,,No,24134630,5.587900000000004,65.96000000000001,370.4560000000001,1.0,5.0
4-phenyl-3-furoxancarbonitrile,Caenorhabditis elegans,,88 µM,,,30.0,S,,,Unknown,,,No,24134630,0.8466799999999999,76.76,187.15799999999996,0.0,4.0
AMN082,Caenorhabditis elegans,,33 µM,,,8.0,S,,,Unknown,,,No,24134630,6.588400000000005,24.06,465.468,2.0,2.0
"3,4-dichloroisocoumarin",Caenorhabditis elegans,,88 µM,,,13.0,S,,,Unknown,,,No,24134630,3.099800000000001,30.21,215.03499999999997,0.0,2.0
